Место,Название компании,Регион,Отрасль,Итоговый балл,kind
3,Банк Точка,Свердловская область,Банки,116.82,Крупные
4,«Фоксфорд»,Москва,Наука и образование,116.64,Крупные
5,ВЭБ.РФ,Москва,Государственная служба и организации,115.94,Крупные
6,РБК,Москва,Медиа,114.51,Крупные
7,СИНЕМА ПАРК и Формула Кино,Москва,Развлекательные сети,114.42,Крупные
8,Издательство АСТ,Москва,"Маркетинг, реклама, издательский бизнес",113.18,Крупные
9,Unilever в России и Беларуси,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",112.63,Крупные
10,Информационное агентство России ТАСС,Москва,Медиа,112.5,Крупные
11,Fonbet/Фонбет,Московская область,Развлекательные сети,112.09,Крупные
12,Rambler&Co,Москва,Медиа,111.93,Крупные
13,FIT Service,Новосибирская область,Услуги для населения,111.55,Крупные
14,ANCOR,Москва,Услуги для бизнеса,111.45,Крупные
15,Банк ДОМ.РФ,Москва,Банки,111.4,Крупные
16,Главгосэкспертиза России,Москва,Государственная служба и организации,111.35,Крупные
17,Hochland,Московская область,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",111.09,Крупные
18,Абрау-Дюрсо,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",110.99,Крупные
19,"""Градиент"" (бренды Vivienne Sabó, Influence, Stellary, Meine Liebe, Urban Formula)",Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",110.96,Крупные
20,ДОМ.РФ,Москва,Строительство и недвижимость,110.73,Крупные
21,QIWI,Москва,IT и интернет,110.58,Крупные
22,STADA,Москва,Фармацевтика и медицина,110.49,Крупные
23,Игорная зона «Красная Поляна»,Краснодарский край,Услуги для населения,110.37,Крупные
24,СберМаркет,Москва,IT и интернет,109.99,Крупные
25,Агрохолдинг Белая Дача,Московская область,"Сельское хозяйство и пищевая промышленность, торгово-производственные компании",109.94,Крупные
26,СберРешения,Москва,Услуги для бизнеса,109.33,Крупные
27,Мэрия города Казани,Республика Татарстан,Государственная служба и организации,109.09,Крупные
28,JTI (Japan Tobacco International),Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",109.03,Крупные
29,Аффилированные компании «Филип Моррис Интернэшнл»,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",108.91,Крупные
30,World Class,Москва,Услуги для населения,108.71,Крупные
31,BIOCAD,Санкт-Петербург,Фармацевтика и медицина,108.59,Крупные
32,КРОК,Москва,IT и интернет,108.51,Крупные
33,НефтеТрансСервис,Москва,"Транспорт, логистика, автодилеры",108.45,Крупные
34,"""Не школа"" (Не школа барабанов, Не школа гитары, Не школа барабанов, Не школа KIDS)",Москва,Наука и образование,108.32,Крупные
35,ТКЗ «Красный Котельщик»,Ростовская область,"Энергетика, добыча и переработка сырья",108.26,Крупные
36,Государственная Третьяковская Галерея,Москва,Государственная служба и организации,107.84,Крупные
37,"Любятово (Любятово, EXTRA, Unicorn, Dinosaurs, ChocoZavr)",Воронежская область,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",107.8,Крупные
38,Национальная Медиа Группа,Москва,Медиа,107.64,Крупные
39,CENTURY 21 Россия,Москва,Строительство и недвижимость,107.4,Крупные
40,Альфа-Лизинг,Москва,"Финансы, страхование, аудит",107.39,Крупные
41,СДЭК,Новосибирская область,"Транспорт, логистика, автодилеры",107.2,Крупные
42,"ЦЕМЕНТУМ | CEMENTUM (ex-Holcim Russia, Холсим Россия, ЛафаржХолсим)",Москва,"Промышленное производство (непищевое), торгово-производственные компании",107.14,Крупные
43,"""Дельта - системы безопасности""",Москва,Услуги для бизнеса,107.11,Крупные
44,Skyeng,Москва,IT и интернет,107.07,Крупные
45,"Аптечная сеть ""Здоровье""",Краснодарский край,Фармацевтика и медицина,106.91,Крупные
46,MOON,Московская область,Розничные сети,106.87,Крупные
47,ГК Eqvanta (Быстроденьги),Москва,"Финансы, страхование, аудит",106.85,Крупные
48,FRESH,Москва,"Транспорт, логистика, автодилеры",106.85,Крупные
49,GRASS,Волгоградская область,"Промышленное производство (непищевое), торгово-производственные компании",106.83,Крупные
50,РЖД-ТехСервис,Москва,Сервисные и инжиниринговые компании,106.56,Крупные
51,Циан,Москва,IT и интернет,106.38,Крупные
52,КОФЕМАНИЯ,Москва,"Ресторанные сети, гостиницы",106.21,Крупные
53,"ГНИВЦ (проекты: Личный кабинет налогоплательщика, приложения: «Мой налог», «Личный кабинет ИП», «Реестр ЗАГС», «Проверка чеков ФНС России»)",Москва,IT и интернет,106.12,Крупные
54,НИПИГАЗ,Москва,Строительство и недвижимость,106.09,Крупные
55,Бэби-клуб,Самарская область,Наука и образование,105.97,Крупные
56,Европлан,Москва,"Финансы, страхование, аудит",105.79,Крупные
57,АКРИХИН,Москва,Фармацевтика и медицина,105.76,Крупные
58,IBS,Москва,IT и интернет,105.66,Крупные
59,КАН АВТО,Республика Татарстан,"Транспорт, логистика, автодилеры",105.66,Крупные
60,Mriya Resort & SPA,Республика Крым,"Ресторанные сети, гостиницы",105.65,Крупные
61,Капитал Лайф Страхование Жизни,Москва,"Финансы, страхование, аудит",105.64,Крупные
62,Газпромтранс,Москва,"Транспорт, логистика, автодилеры",105.53,Крупные
63,Банк РНКБ,Республика Крым,Банки,105.51,Крупные
64,3Logic Group,Москва,IT и интернет,105.48,Крупные
65,4hands,Москва,Услуги для населения,105.48,Крупные
66,"АО ""Медицина"" (клиника академика Ройтберга)",Москва,Фармацевтика и медицина,105.27,Крупные
67,Natura Siberica,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",105.17,Крупные
68,Sminex,Москва,Строительство и недвижимость,105.07,Крупные
69,ВЛАДИС,Владимирская область,Строительство и недвижимость,104.97,Крупные
70,А ГРУПП,Москва,"Оптовые продажи, дилеры, дистрибьюторы",104.86,Крупные
71,"Максимум, Автомобильный холдинг",Санкт-Петербург,"Транспорт, логистика, автодилеры",104.78,Крупные
72,"Объединенные Пивоварни Хейнекен (бренды Dr. Diesel, Бочкарев, Охота, Три Медведя, Royal Cola и др.)",Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",104.76,Крупные
73,Сладкая Сказка,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",104.55,Крупные
74,Simple Group,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",104.53,Крупные
75,Мосинжпроект,Москва,Строительство и недвижимость,104.47,Крупные
76,Бархатные сезоны,Краснодарский край,"Ресторанные сети, гостиницы",104.42,Крупные
77,Skillbox,Москва,IT и интернет,104.4,Крупные
78,"Кондитерская фабрика ""ПОБЕДА""",Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",104.37,Крупные
79,HAIER (Набережные Челны),Республика Татарстан,"Промышленное производство (непищевое), торгово-производственные компании",104.28,Крупные
80,Орматек,Москва,"Промышленное производство (непищевое), торгово-производственные компании",104.19,Крупные
81,Просвещение,Москва,"Маркетинг, реклама, издательский бизнес",104.16,Крупные
82,Ридан,Московская область,"Промышленное производство (непищевое), торгово-производственные компании",104.15,Крупные
83,"Группа компаний Альфа (Alfasales, Азбука шин, Первый кузовной, Мавинта, АльфаСервис)",Республика Татарстан,"Транспорт, логистика, автодилеры",104.1,Крупные
84,"""КАРАКАН ИНВЕСТ"" ГК",Москва,"Промышленное производство (непищевое), торгово-производственные компании",104.08,Крупные
85,Axenix,Москва,Услуги для бизнеса,104.08,Крупные
86,Университет Иннополис,Республика Татарстан,Наука и образование,104.05,Крупные
87,ГК ФСК,Москва,Строительство и недвижимость,104.05,Крупные
88,Университет ИТМО,Санкт-Петербург,Наука и образование,104.04,Крупные
89,Рекитт,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",104.01,Крупные
90,"Группа компаний ""Астра"" (Astra Linux, ALD Pro, RuBackup, Termidesk, WorksPad, RuPost, Брест)",Москва,IT и интернет,103.91,Крупные
91,Сахалинская Энергия,Сахалинская область,"Энергетика, добыча и переработка сырья",103.88,Крупные
92,UTG Group,Москва,Сервисные и инжиниринговые компании,103.87,Крупные
93,Алкогольная Сибирская группа,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",103.87,Крупные
94,Русбизнесавто,Москва,"Транспорт, логистика, автодилеры",103.76,Крупные
95,HAYAT,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",103.73,Крупные
96,ТрансТехСервис,Республика Татарстан,"Транспорт, логистика, автодилеры",103.71,Крупные
